in_chans,out_chans,kernel_h,kernel_w,input_h,input_w,stride_h,stride_w,padding_h,padding_w,groups,output_h,output_w,dilation_h,dilation_w
3,64,7,7,224,224,2,2,3,3,1,112,112,1,1
64,64,1,1,56,56,1,1,0,0,1,56,56,1,1
64,192,3,3,56,56,1,1,1,1,1,56,56,1,1
192,64,1,1,28,28,1,1,0,0,1,28,28,1,1
192,96,1,1,28,28,1,1,0,0,1,28,28,1,1
96,128,3,3,28,28,1,1,1,1,1,28,28,1,1
192,16,1,1,28,28,1,1,0,0,1,28,28,1,1
16,32,3,3,28,28,1,1,1,1,1,28,28,1,1
192,32,1,1,28,28,1,1,0,0,1,28,28,1,1
256,128,1,1,28,28,1,1,0,0,1,28,28,1,1
256,128,1,1,28,28,1,1,0,0,1,28,28,1,1
128,192,3,3,28,28,1,1,1,1,1,28,28,1,1
256,32,1,1,28,28,1,1,0,0,1,28,28,1,1
32,96,3,3,28,28,1,1,1,1,1,28,28,1,1
256,64,1,1,28,28,1,1,0,0,1,28,28,1,1
480,192,1,1,14,14,1,1,0,0,1,14,14,1,1
480,96,1,1,14,14,1,1,0,0,1,14,14,1,1
96,208,3,3,14,14,1,1,1,1,1,14,14,1,1
480,16,1,1,14,14,1,1,0,0,1,14,14,1,1
16,48,3,3,14,14,1,1,1,1,1,14,14,1,1
480,64,1,1,14,14,1,1,0,0,1,14,14,1,1
512,160,1,1,14,14,1,1,0,0,1,14,14,1,1
512,112,1,1,14,14,1,1,0,0,1,14,14,1,1
112,224,3,3,14,14,1,1,1,1,1,14,14,1,1
512,24,1,1,14,14,1,1,0,0,1,14,14,1,1
24,64,3,3,14,14,1,1,1,1,1,14,14,1,1
512,64,1,1,14,14,1,1,0,0,1,14,14,1,1
512,128,1,1,14,14,1,1,0,0,1,14,14,1,1
512,128,1,1,14,14,1,1,0,0,1,14,14,1,1
128,256,3,3,14,14,1,1,1,1,1,14,14,1,1
512,24,1,1,14,14,1,1,0,0,1,14,14,1,1
24,64,3,3,14,14,1,1,1,1,1,14,14,1,1
512,64,1,1,14,14,1,1,0,0,1,14,14,1,1
512,112,1,1,14,14,1,1,0,0,1,14,14,1,1
512,144,1,1,14,14,1,1,0,0,1,14,14,1,1
144,288,3,3,14,14,1,1,1,1,1,14,14,1,1
512,32,1,1,14,14,1,1,0,0,1,14,14,1,1
32,64,3,3,14,14,1,1,1,1,1,14,14,1,1
512,64,1,1,14,14,1,1,0,0,1,14,14,1,1
528,256,1,1,14,14,1,1,0,0,1,14,14,1,1
528,160,1,1,14,14,1,1,0,0,1,14,14,1,1
160,320,3,3,14,14,1,1,1,1,1,14,14,1,1
528,32,1,1,14,14,1,1,0,0,1,14,14,1,1
32,128,3,3,14,14,1,1,1,1,1,14,14,1,1
528,128,1,1,14,14,1,1,0,0,1,14,14,1,1
832,256,1,1,7,7,1,1,0,0,1,7,7,1,1
832,160,1,1,7,7,1,1,0,0,1,7,7,1,1
160,320,3,3,7,7,1,1,1,1,1,7,7,1,1
832,32,1,1,7,7,1,1,0,0,1,7,7,1,1
32,128,3,3,7,7,1,1,1,1,1,7,7,1,1
832,128,1,1,7,7,1,1,0,0,1,7,7,1,1
832,384,1,1,7,7,1,1,0,0,1,7,7,1,1
832,192,1,1,7,7,1,1,0,0,1,7,7,1,1
192,384,3,3,7,7,1,1,1,1,1,7,7,1,1
832,48,1,1,7,7,1,1,0,0,1,7,7,1,1
48,128,3,3,7,7,1,1,1,1,1,7,7,1,1
832,128,1,1,7,7,1,1,0,0,1,7,7,1,1
